epi_week;date;country;state;city;ibgeID;cod_RegiaoDeSaude;name_RegiaoDeSaude;newDeaths;deaths;newCases;totalCases;deaths_per_100k_inhabitants;totalCases_per_100k_inhabitants;deaths_by_totalCases;_source;last_info_date
9;25/02/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;1;1;0;0,00816;0;SES;26/07/2020
9;26/02/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;1;0;0,00816;0;SES;26/07/2020
9;27/02/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;1;0;0,00816;0;SES;26/07/2020
9;28/02/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;1;2;0;0,01632;0;SES;26/07/2020
9;29/02/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;2;0;0,01632;0;SES;26/07/2020
10;01/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;2;0;0,01632;0;SES;26/07/2020
10;02/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;2;0;0,01632;0;SES;26/07/2020
10;03/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;2;0;0,01632;0;SES;26/07/2020
10;04/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;1;3;0;0,02449;0;SES;26/07/2020
10;05/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;3;6;0;0,04897;0;SES;26/07/2020
10;06/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;6;0;0,04897;0;SES;26/07/2020
10;07/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;6;12;0;0,09794;0;SES;26/07/2020
11;08/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;3;15;0;0,12243;0;SES;26/07/2020
11;09/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;0;15;0;0,12243;0;SES;26/07/2020
11;10/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;3;18;0;0,14691;0;SES;26/07/2020
11;11/03/2020;Brazil;SP;Ṣo Paulo/SP;3550308;35016;Ṣo Paulo;0;0;11;29;0;0,2367;0;SES;26/07/2020
