,date,country,state,city,ibgeID,newDeaths,deaths,newCases,totalCases,deaths_per_100k_inhabitants,totalCases_per_100k_inhabitants,deaths_by_totalCases,_source,cCFR,cum_subn,newCases_regression,real_newCases,Re,Re_ub,Re_lb
0,2020-03-08,Brazil,AL,Maceió/AL,2704302,0,0,1,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.010683649599098037,0,0.0,0.0,0.0
1,2020-03-09,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.014245884890573154,0,0.0,0.0,0.0
2,2020-03-10,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.01888263647051371,0,0.0,0.0,0.0
3,2020-03-11,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.02488114636602087,0,0.0,0.0,0.0
4,2020-03-12,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.03259446363944999,0,0.0,0.0,0.0
5,2020-03-13,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.04245356221593247,0,0.0,0.0,0.0
6,2020-03-14,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.054980973746947846,1,0.0,0.0,0.0
7,2020-03-15,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.07080596654256122,2,0.0,0.0,0.0
8,2020-03-16,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.09068126472082767,2,0.0,0.0,0.0
9,2020-03-17,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.11550125753063774,1,0.0,0.0,0.0
10,2020-03-18,Brazil,AL,Maceió/AL,2704302,0,0,0,1,0.0,0.09813999999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.14632159761103508,0,0.0,0.0,0.0
11,2020-03-19,Brazil,AL,Maceió/AL,2704302,0,0,3,4,0.0,0.39255999999999996,0.0,SES,0.06858547230082455,0.09579288119768498,0.18438002942742962,0,0.0,0.0,0.0
12,2020-03-20,Brazil,AL,Maceió/AL,2704302,0,0,2,6,0.0,0.5888399999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.23111822633884072,7,0.0,0.0,0.0
13,2020-03-21,Brazil,AL,Maceió/AL,2704302,0,0,1,7,0.0,0.68698,0.0,SES,0.06858547230082455,0.09579288119768498,0.2882043481729331,3,3.4123985341354257,4.855322842363897,2.0803743748530454
14,2020-03-22,Brazil,AL,Maceió/AL,2704302,0,0,0,7,0.0,0.68698,0.0,SES,0.06858547230082455,0.09579288119768498,0.35755596268959955,4,3.598005026094248,5.180171224818233,2.314728460268574
15,2020-03-23,Brazil,AL,Maceió/AL,2704302,0,0,1,8,0.0,0.7851199999999999,0.0,SES,0.06858547230082455,0.09579288119768498,0.4413629061421368,2,3.174159730927063,4.530652059264241,2.0898542010960837
16,2020-03-24,Brazil,AL,Maceió/AL,2704302,0,0,2,10,0.0,0.9814,0.0,SES,0.06858547230082455,0.09579288119768498,0.5421095928580839,6,2.9855511629860483,4.091416961775948,2.123584168080132
17,2020-03-25,Brazil,AL,Maceió/AL,2704302,0,0,0,10,0.0,0.9814,0.0,SES,0.06858547230082455,0.09579288119768498,0.6625962241608546,6,2.702254967041064,3.6855834759678725,1.9649549968103808
18,2020-03-26,Brazil,AL,Maceió/AL,2704302,0,0,0,10,0.0,0.9814,0.0,SES,0.06858547230082455,0.09579288119768498,0.8059582959818578,7,2.57445992409217,3.4565348007627303,1.8997062778931983
19,2020-03-27,Brazil,AL,Maceió/AL,2704302,0,0,1,11,0.0,1.07954,0.0,SES,0.06858547230082455,0.09579288119768498,0.975683765138698,7,2.407598903378751,3.086463164089204,1.7300931876000276
20,2020-03-28,Brazil,AL,Maceió/AL,2704302,0,0,2,13,0.0,1.27583,0.0,SES,0.06858547230082455,0.09579288119768498,1.1756272093381552,7,2.191719753876692,2.791989754759284,1.6510762287933543
21,2020-03-29,Brazil,AL,Maceió/AL,2704302,0,0,-1,12,0.0,1.17769,0.0,SES,0.06858547230082455,0.09579288119768498,1.4100203081140414,10,2.089530731467756,2.6642387863062185,1.573139599240851
22,2020-03-30,Brazil,AL,Maceió/AL,2704302,0,0,0,12,0.0,1.17769,0.0,SES,0.06858547230082455,0.09579288119768498,1.6834779833490805,16,2.170721193721044,2.6706918354060853,1.7503242492960074
23,2020-03-31,Brazil,AL,Maceió/AL,2704302,1,1,1,13,0.09813999999999999,1.27583,0.07692,SES,0.06858547230082455,0.09579288119768498,2.000999570448054,14,2.203978286933418,2.6260821822818348,1.8280359105071375
24,2020-04-01,Brazil,AL,Maceió/AL,2704302,0,1,0,13,0.09813999999999999,1.27583,0.07692,SES,0.06858547230082455,0.09579288119768498,2.367964445666584,26,2.4578430912280727,2.964462700821687,1.9968200821542865
